"subid","trial","offer_other","offer_self","RT","dec","emotion","party"
"109","26","10","10","0.444","0","1","2"
"109","27","2","18","0.830","0","3","2"
"109","28","7","13","0.000","0","3","2"
"109","29","4","16","0.946","0","2","2"
"109","30","4","16","0.000","0","3","2"
"109","31","10","10","0.470","0","1","2"
"109","32","10","10","1.201","0","1","2"
"109","33","7","13","0.494","0","2","2"
"109","34","7","13","1.378","0","2","2"
"109","35","10","10","0.820","0","1","2"
"109","36","2","18","2.288","1","2","2"
"109","37","10","10","0.655","0","1","2"
"109","38","4","16","1.046","0","2","2"
"109","39","4","16","0.442","0","3","2"
"109","40","7","13","0.581","1","2","2"
"113","1","2","18","0.769","2","2","2"
"113","2","2","18","0.370","2","2","2"
"113","3","4","16","0.462","1","3","2"
"113","4","7","13","1.116","0","3","2"
"113","5","2","18","0.646","2","3","2"
"113","6","10","10","0.516","0","1","2"
"113","7","2","18","0.001","2","3","2"
"113","8","7","13","0.640","0","3","2"
"113","9","10","10","0.675","0","1","2"
"113","10","7","13","0.469","0","2","2"
"113","11","10","10","0.382","0","1","2"
"113","12","4","16","0.556","1","3","2"
"113","13","7","13","0.566","0","3","2"
"113","14","10","10","0.983","0","1","2"
"113","15","4","16","0.377","2","2","2"
"113","16","4","16","0.417","2","2","2"
"113","17","2","18","0.455","2","3","2"
"113","18","7","13","0.408","0","3","2"
"113","19","10","10","0.501","0","1","2"
"113","20","4","16","2.198","2","3","2"
"113","21","2","18","0.387","3","3","2"
"113","22","7","13","0.425","0","2","2"
"113","23","10","10","0.517","0","1","2"
"113","24","2","18","0.756","3","2","2"
"113","25","7","13","0.505","0","3","2"
"113","26","2","18","0.508","3","2","2"
"113","27","4","16","0.356","1","2","2"
"113","28","2","18","0.407","2","3","2"
"113","29","10","10","0.689","0","1","2"
"113","30","10","10","0.754","0","1","2"
"113","31","7","13","0.718","0","2","2"
"113","32","4","16","0.515","1","2","2"
"113","33","7","13","1.251","0","2","2"
"113","34","7","13","0.414","0","2","2"
"113","35","4","16","1.662","1","3","2"
"113","36","2","18","0.585","3","2","2"
"113","37","10","10","0.478","0","1","2"
"113","38","4","16","0.557","1","3","2"
"113","39","10","10","0.612","0","1","2"
"113","40","4","16","0.481","1","2","2"
"113","1","7","13","0.472","0","3","3"
"113","2","10","10","0.448","0","1","3"
"113","3","10","10","0.558","0","1","3"
"113","4","7","13","0.378","0","2","3"
"113","5","4","16","0.491","1","3","3"
"113","6","2","18","0.431","2","2","3"
"113","7","4","16","0.488","1","2","3"
"113","8","10","10","0.576","0","1","3"
"113","9","7","13","0.434","0","3","3"
"113","10","2","18","0.559","2","3","3"
"113","11","2","18","0.400","2","3","3"
"113","12","4","16","0.441","1","2","3"
"113","13","2","18","0.398","3","2","3"
"113","14","4","16","0.611","1","3","3"
"113","15","4","16","0.456","1","2","3"
"113","16","2","18","0.750","3","2","3"
"113","17","2","18","0.290","2","3","3"
"113","18","10","10","0.705","0","1","3"
"113","19","7","13","0.450","0","2","3"
"113","20","2","18","0.506","3","3","3"
"113","21","4","16","0.631","1","2","3"
"113","22","7","13","0.439","0","2","3"
"113","23","10","10","0.388","0","1","3"
"113","24","4","16","0.616","1","2","3"
"113","25","7","13","0.511","0","3","3"
"113","26","4","16","0.425","1","3","3"
"113","27","10","10","0.716","0","1","3"
"113","28","2","18","0.613","2","3","3"
"113","29","7","13","0.507","0","3","3"
"113","30","4","16","0.646","1","3","3"
"113","31","10","10","0.572","0","1","3"
"113","32","10","10","0.595","0","1","3"
"113","33","10","10","0.600","0","1","3"
"113","34","2","18","0.456","2","2","3"
"113","35","2","18","0.473","2","2","3"
"113","36","4","16","0.610","1","3","3"
"113","37","7","13","0.582","0","3","3"
"113","38","7","13","0.903","0","2","3"
"113","39","7","13","1.791","0","2","3"
"113","40","10","10","0.330","0","1","3"
"113","1","4","16","0.580","1","3","2"
"113","2","2","18","0.419","2","2","2"
"113","3","2","18","0.350","2","3","2"
"113","4","2","18","0.503","2","3","2"
"113","5","2","18","0.483","3","2","2"
"113","6","10","10","0.442","0","1","2"
"113","7","7","13","0.518","0","3","2"
"113","8","10","10","0.516","0","1","2"
"113","9","4","16","0.442","1","3","2"
"113","10","7","13","0.545","0","3","2"
"113","11","10","10","0.483","0","1","2"
"113","12","4","16","0.427","1","2","2"
"113","13","7","13","0.410","0","3","2"
"113","14","4","16","0.421","1","2","2"
"113","15","7","13","1.296","0","2","2"
"113","16","7","13","0.672","0","2","2"
"113","17","2","18","0.533","2","2","2"
"113","18","2","18","0.598","2","3","2"
"113","19","2","18","0.326","2","2","2"
"113","20","7","13","0.099","0","3","2"
"113","21","10","10","0.719","0","1","2"
"113","22","4","16","0.565","1","3","2"
"113","23","2","18","0.354","2","3","2"
"113","24","2","18","0.584","2","3","2"
"113","25","7","13","0.444","0","3","2"
"113","26","10","10","0.578","0","1","2"
"113","27","10","10","0.535","0","1","2"
"113","28","4","16","0.501","1","2","2"
"113","29","10","10","0.485","0","1","2"
"113","30","10","10","0.420","0","1","2"
"113","31","7","13","0.470","0","2","2"
"113","32","4","16","0.560","1","3","2"
"113","33","10","10","0.530","0","1","2"
"113","34","4","16","0.509","1","2","2"
"113","35","10","10","0.717","0","1","2"
"113","36","2","18","1.637","2","2","2"
"113","37","4","16","0.420","1","2","2"
"113","38","4","16","0.498","1","3","2"
"113","39","7","13","0.468","1","2","2"
"113","40","7","13","0.442","0","2","2"
"113","1","7","13","0.892","0","2","3"
"113","2","2","18","0.442","2","2","3"
"113","3","10","10","0.466","0","1","3"
"113","4","4","16","0.720","2","3","3"
"113","5","2","18","0.676","2","3","3"
"113","6","4","16","0.487","1","2","3"
"113","7","2","18","1.694","2","3","3"
"113","8","4","16","0.850","1","2","3"
"113","9","10","10","0.543","0","1","3"
"113","10","4","16","0.488","1","3","3"
"113","11","7","13","0.444","0","2","3"
"113","12","2","18","0.422","2","3","3"
"113","13","7","13","0.643","0","2","3"
"113","14","10","10","0.356","0","1","3"
"113","15","2","18","1.381","2","2","3"
"113","16","4","16","0.595","1","2","3"
"113","17","2","18","1.543","2","2","3"
"113","18","10","10","0.403","0","1","3"
"113","19","2","18","0.488","2","3","3"
"113","20","4","16","0.596","1","2","3"
"113","21","10","10","0.438","0","1","3"
"113","22","7","13","0.523","0","3","3"
"113","23","4","16","0.438","1","3","3"
"113","24","7","13","0.397","0","2","3"
"113","25","10","10","0.356","0","1","3"
"113","26","10","10","2.185","0","1","3"
"113","27","2","18","0.451","2","3","3"
"113","28","7","13","0.318","0","3","3"
"113","29","4","16","0.503","1","2","3"
"113","30","4","16","0.965","1","3","3"
"113","31","10","10","0.683","0","1","3"
"113","32","7","13","0.422","0","3","3"
"113","33","7","13","0.443","0","3","3"
"113","34","7","13","0.552","0","2","3"
"113","35","10","10","0.522","0","1","3"
"113","36","2","18","1.262","2","2","3"
"113","37","7","13","0.645","0","3","3"
"113","38","2","18","0.499","2","2","3"
"113","39","4","16","0.607","1","3","3"
"113","40","10","10","0.402","0","1","3"
"102","1","4","16","0.525","2","3","3"
"102","2","2","18","0.284","3","2","3"
"102","3","2","18","0.359","3","3","3"
"102","4","2","18","0.393","3","3","3"
"102","5","2","18","0.333","2","2","3"
"102","6","10","10","0.276","0","1","3"
"102","7","7","13","0.239","0","2","3"
"102","8","10","10","0.245","0","1","3"
"102","9","4","16","0.251","2","3","3"
"102","10","7","13","0.259","0","3","3"
"102","11","10","10","0.324","0","1","3"
"102","12","4","16","0.332","2","2","3"
"102","13","7","13","0.275","0","3","3"
"102","14","4","16","0.679","2","2","3"
"102","15","7","13","0.249","0","3","3"
"102","16","7","13","0.305","0","2","3"
"102","17","2","18","0.606","3","2","3"
"102","18","2","18","0.320","3","3","3"
"102","19","2","18","0.319","3","2","3"
"102","20","7","13","0.533","0","2","3"
"102","21","10","10","0.272","0","1","3"
"102","22","4","16","0.327","2","3","3"
"102","23","2","18","0.236","3","3","3"
"102","24","2","18","0.329","3","3","3"
"102","25","7","13","0.277","0","2","3"
"102","26","10","10","0.371","0","1","3"
"102","27","10","10","0.408","0","1","3"
"102","28","4","16","0.734","2","2","3"
"102","29","10","10","0.287","0","1","3"
"102","30","10","10","0.262","0","1","3"
"102","31","7","13","0.264","0","2","3"
"102","32","4","16","0.362","2","3","3"
"102","33","10","10","0.275","0","1","3"
"102","34","4","16","0.454","2","2","3"
"102","35","10","10","0.262","0","1","3"
"102","36","2","18","0.719","3","2","3"
"102","37","4","16","0.494","2","2","3"
"102","38","4","16","0.228","2","3","3"
"102","39","7","13","0.382","0","3","3"
"102","40","7","13","0.588","0","3","3"
"102","1","7","13","0.261","0","2","2"
"102","2","2","18","0.252","3","2","2"
"102","3","10","10","0.748","0","1","2"
"102","4","4","16","0.258","2","3","2"
"102","5","2","18","0.262","2","3","2"
"102","6","4","16","0.272","2","2","2"
"102","7","2","18","0.271","2","3","2"
"102","8","4","16","0.340","2","2","2"
"102","9","10","10","0.409","0","1","2"
"102","10","4","16","0.425","1","3","2"
"102","11","7","13","0.270","0","2","2"
"102","12","2","18","0.663","3","3","2"
"102","13","7","13","0.324","0","3","2"
"102","14","10","10","0.549","0","1","2"
"102","15","2","18","0.775","3","2","2"
"102","16","4","16","0.589","2","2","2"
"102","17","2","18","0.313","3","2","2"
"102","18","10","10","0.420","0","1","2"
"102","19","2","18","0.281","3","3","2"
"102","20","4","16","0.285","2","2","2"
"102","21","10","10","0.319","0","1","2"
"102","22","7","13","0.812","0","2","2"
"102","23","4","16","0.312","1","3","2"
"102","24","7","13","0.479","0","2","2"
"102","25","10","10","0.302","0","1","2"
"102","26","10","10","1.291","0","1","2"
"102","27","2","18","0.725","3","3","2"
"102","28","7","13","0.311","0","3","2"
"102","29","4","16","0.561","1","2","2"
"102","30","4","16","0.790","1","3","2"
"102","31","10","10","0.325","0","1","2"
"102","32","7","13","0.472","0","3","2"
"102","33","7","13","0.389","0","3","2"
"102","34","7","13","1.794","0","3","2"
"102","35","10","10","0.387","0","1","2"
"102","36","2","18","0.824","3","2","2"
"102","37","7","13","0.655","0","2","2"
"102","38","2","18","0.653","3","2","2"
"102","39","4","16","0.265","2","3","2"
"102","40","10","10","0.421","0","1","2"
"102","1","7","13","0.348","0","2","3"
"102","2","4","16","0.392","2","3","3"
"102","3","10","10","0.236","0","1","3"
"102","4","10","10","0.239","0","1","3"
"102","5","2","18","0.685","3","3","3"
"102","6","7","13","0.283","0","2","3"
"102","7","2","18","0.371","3","2","3"
"102","8","7","13","0.311","0","3","3"
"102","9","2","18","0.721","3","3","3"
"102","10","2","18","0.534","3","2","3"
"102","11","4","16","0.320","2","3","3"
"102","12","4","16","0.268","2","2","3"
"102","13","2","18","0.280","3","3","3"
"102","14","4","16","0.275","2","2","3"
"102","15","4","16","0.286","2","3","3"
"102","16","10","10","0.348","0","1","3"
"102","17","7","13","0.259","0","2","3"
"102","18","7","13","0.318","0","3","3"
"102","19","10","10","0.253","0","1","3"
"102","20","2","18","0.321","3","2","3"
"102","21","10","10","0.367","0","1","3"
"102","22","2","18","0.334","3","2","3"
"102","23","7","13","0.379","0","3","3"
"102","24","4","16","0.293","1","2","3"
"102","25","2","18","0.443","3","3","3"
"102","26","10","10","0.346","0","1","3"
"102","27","2","18","0.328","3","3","3"
"102","28","4","16","0.343","1","3","3"
"102","29","7","13","0.248","0","2","3"
"102","30","4","16","1.077","1","3","3"
"102","31","7","13","0.246","0","3","3"
"102","32","10","10","0.477","0","1","3"
"102","33","4","16","0.472","2","2","3"
"102","34","10","10","0.273","0","1","3"
"102","35","2","18","0.298","3","2","3"
"102","36","10","10","0.269","0","1","3"
"102","37","4","16","0.428","2","2","3"
"102","38","10","10","0.645","0","1","3"
"102","39","7","13","0.365","0","3","3"
"102","40","7","13","0.389","0","2","3"
"102","1","7","13","0.249","0","2","2"
"102","2","4","16","0.510","1","3","2"
"102","3","2","18","0.314","3","2","2"
"102","4","10","10","0.339","0","1","2"
"102","5","10","10","0.318","0","1","2"
"102","6","4","16","0.262","2","2","2"
"102","7","2","18","0.317","3","3","2"
"102","8","7","13","0.329","0","3","2"
"102","9","10","10","0.582","0","1","2"
"102","10","2","18","0.253","3","3","2"
"102","11","7","13","0.280","0","2","2"
"102","12","10","10","0.259","0","1","2"
"102","13","10","10","0.267","0","1","2"
"102","14","4","16","0.411","2","3","2"
"102","15","7","13","0.289","0","2","2"
"102","16","4","16","0.305","2","2","2"
"102","17","2","18","0.297","3","3","2"
"102","18","2","18","0.293","3","2","2"
"102","19","4","16","0.328","2","2","2"
"102","20","7","13","0.298","0","3","2"
"102","21","7","13","0.273","0","3","2"
"102","22","2","18","0.352","3","2","2"
"102","23","2","18","0.594","3","3","2"
"102","24","10","10","0.271","0","1","2"
"102","25","10","10","0.337","0","1","2"
"102","26","4","16","0.287","1","3","2"
"102","27","4","16","0.280","2","2","2"
"102","28","10","10","0.325","0","1","2"
"102","29","2","18","0.290","3","3","2"
"102","30","7","13","0.332","0","2","2"
"102","31","4","16","0.336","2","2","2"
"102","32","4","16","0.304","1","3","2"
"102","33","4","16","0.231","1","3","2"
"102","34","7","13","0.289","0","2","2"
"102","35","7","13","0.641","0","3","2"
"102","36","10","10","0.610","0","1","2"
"102","37","2","18","0.550","3","2","2"
"102","38","7","13","0.506","0","3","2"
"102","39","10","10","0.330","0","1","2"
"102","40","2","18","0.713","3","2","2"
"121","1","2","18","0.684","3","2","2"
"121","2","2","18","0.597","3","2","2"
"121","3","4","16","0.305","3","3","2"
"121","4","7","13","0.534","2","3","2"
"121","5","2","18","0.297","3","3","2"
"121","6","10","10","0.879","0","1","2"
"121","7","2","18","0.411","3","3","2"
"121","8","7","13","0.747","2","3","2"
"121","9","10","10","0.685","0","1","2"
"121","10","7","13","0.401","3","2","2"
"121","11","10","10","0.521","0","1","2"
"121","12","4","16","0.639","3","3","2"
"121","13","7","13","0.369","3","2","2"
"121","14","10","10","0.953","0","1","2"
"121","15","4","16","0.628","3","2","2"
"121","16","4","16","0.557","3","2","2"
"121","17","2","18","0.577","3","3","2"
"121","18","7","13","0.442","2","3","2"
"121","19","10","10","1.079","0","1","2"
"121","20","4","16","0.896","3","3","2"
"121","21","2","18","0.405","3","3","2"
"121","22","7","13","0.668","3","2","2"
"121","23","10","10","0.713","0","1","2"
"121","24","2","18","0.559","3","2","2"
"121","25","7","13","0.483","3","2","2"
"121","26","2","18","0.823","3","2","2"
"121","27","4","16","0.639","3","2","2"
"121","28","2","18","0.490","3","3","2"
"121","29","10","10","0.884","0","1","2"
"121","30","10","10","0.877","0","1","2"
"121","31","7","13","0.329","2","3","2"
"121","32","4","16","0.486","3","2","2"
"121","33","7","13","0.358","2","3","2"
"121","34","7","13","0.513","3","2","2"
"121","35","4","16","0.417","3","3","2"
"121","36","2","18","0.363","3","2","2"
"121","37","10","10","1.137","0","1","2"
"121","38","4","16","0.551","3","3","2"
"121","39","10","10","0.582","0","1","2"
"121","40","4","16","1.221","3","2","2"
"121","1","7","13","0.452","2","3","3"
"121","2","10","10","0.877","0","1","3"
"121","3","10","10","0.578","0","1","3"
"121","4","7","13","0.414","3","2","3"
"121","5","4","16","0.831","3","3","3"
"121","6","2","18","0.548","3","2","3"
"121","7","4","16","0.636","3","2","3"
"121","8","10","10","0.701","0","1","3"
"121","9","7","13","0.360","2","3","3"
"121","10","2","18","0.836","3","3","3"
"121","11","2","18","0.469","3","3","3"
"121","12","4","16","0.525","3","2","3"
"121","13","2","18","0.475","3","2","3"
"121","14","4","16","0.391","3","3","3"
"121","15","4","16","0.788","3","2","3"
